'63','8',,'Compact Discs, Records and Tapes',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'64','8',,'Day Care & Nursery Centers',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'65','8',,'Dentists',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'66','8',,'Door Operating Devices',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'67','8',,'Draperies & Curtains-Retail & Custom Made',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'68','8',,'Driving Instruction',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'69','8',,'Electric Contractors',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'70','8',,'Employment Agencies',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'71','8',,'Employment Contractors-Temporary Help',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'72','8',,'Fax Equipment & Systems',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'73','8',,'Fence Contractors',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'74','8',,'Glorists-Retail',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'75','8',,'Funeral Directors',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'76','8',,'Furniture-Retail',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'77','8',,'Glass-Plate, Window, Etc.',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'78','8',,'Health Clubs',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'79','8',,'Heating Contractors',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'80','8',,'Hospitals',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'81','8',,'Insurance',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'82','8',,'Jewelers-Retail',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'83','8',,'Landscape Contractors',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'84','8',,'Lawn Maintenance',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'85','8',,'Lawn Mowers-Retail',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'86','8',,'Limousine Service',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'87','8',,'Loans',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'88','8',,'Locks & Locksmiths',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'89','8',,'Mortgages',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'90','8',,'Motorcycles & Motor Scooters-Dealers',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'91','8',,'Movers',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'92','8',,'Mufflers & Exhaust Systems-Engine-Retail',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'93','8',,'Musical Instruments-Dealers',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'94','8',,'Nursing Homes',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'95','8',,'Office Furniture & Equipment-Dealers',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'96','8',,'Optical Goods-Retail',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'97','8',,'Optometrists-OD',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'98','8',,'Paging & Signaling Equipment and Systems',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'99','8',,'Painting Contractors',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'100','8',,'Pawnbrokers',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'101','8',,'Pest Control Services',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'102','8',,'Pet Shops',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'103','8',,'Phamacies',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'104','8',,'Photo Finishing-Retail',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'105','8',,'Photographers-Portrait',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'106','8',,'Physicians & Surgeons, DO',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'107','8',,'Physicians & Surgeons, DPM-Podiatry (FT)',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'108','8',,'Physicians & Surgeons-MD',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'109','8',,'Picture Frames-Dealers',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'110','8',,'Plumbing-Drain & Sewer Cleaning',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'111','8',,'Printers',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'112','8',,'Radiators-Automotive-Retail',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'113','8',,'Real Estate',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'114','8',,'Remodeling & Repairing-Bldg Contractors',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'115','8',,'Rental Service Stores & Yards',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'116','8',,'Restaurants',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'117','8',,'Roofing Contractors',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'118','8',,'Stereo Equipment Retail',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'119','8',,'Security Alarm Systems',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'120','8',,'Signs',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'121','8',,'Sporting Goods-Retail',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'122','8',,'Storage-Household & Commercial',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
'123','8',,'Storage-Self Service',,'1999-09-09 23:23:00.050000','1999-09-09 23:23:00.050000','DBA','Y'
