1	Assets	1	1999-09-09 00:00:00.000	2003-07-31 20:15:44.000	admin
2	Liabilities	2	1999-09-09 00:00:00.000	1999-09-09 00:00:00.000	DBA
3	Owner's Equity	2	1999-09-09 00:00:00.000	1999-09-09 00:00:00.000	DBA
4	Revenue	2	1999-09-09 00:00:00.000	1999-09-09 00:00:00.000	DBA
5	Expenses	1	1999-09-09 00:00:00.000	1999-09-09 00:00:00.000	DBA
6	Debit Contra Account	2	1999-09-09 00:00:00.000	1999-09-09 00:00:00.000	DBA
7	Credit Contra Account	1	1999-09-09 00:00:00.000	1999-09-09 00:00:00.000	DBA
8	Asset Contra Acccount	1	1999-09-09 00:00:00.000	1999-09-09 00:00:00.000	DBA
