5,Marital Status Codes,'1999-9-9 23:23:00.05','1999-9-9 23:23:00.05',DBA,Y
6,Gender Codes,'1999-9-9 23:23:00.05','1999-9-9 23:23:00.05',DBA,Y
7,Business Type Codes,'1999-9-9 23:23:00.05','1999-9-9 23:23:00.05',DBA,Y
8,Business Industry Codes,'1999-9-9 23:23:00.05','1999-9-9 23:23:00.05',admin,Y
15,Race-Culture Codes,'1999-9-9 23:23:00.05','1999-9-9 23:23:00.05',DBA,Y
25,Family Relationship,'1999-9-9 23:23:00.05','1999-9-9 23:23:00.05',DBA,Y
26,Name Title,'1999-9-9 23:23:00.05','1999-9-9 23:23:00.05',DBA,Y
