'1','Unknown'
'A','Airport Mail Facility (AMF)'
'B','Branch'
'C','Community Post Office (CPO)'
'D','Area Distribution Center (ASC)'
'E','Sectional Center Facility (SCF)'
'F','Delivery Distribution Center (DDC)'
'G','General Mailing Facility (GMF)'
'H','Unknown'
'J','Unknown'
'K','Bulk Mail Center (BMC)'
'L','Unknown'
'M','Money Order Unit'
'N','Non Postal Community Name'
'P','Post Office'
'R','Unknown'
'S','Station'
'U','Urbanization'
'V','Unknown'
'W','Unknown'
'Z','Unknown'
