1,Assets,1,'2004-07-01','2004-07-01',admin
2,Liabilities,2,'2004-07-01','2004-07-01',DBA
3,Owner's Equity,2,'2004-07-01','2004-07-01',DBA
4,Revenue,2,'2004-07-01','2004-07-01',DBA
5,Expenses,1,'2004-07-01','2004-07-01',DBA
6,Debit Contra Account,2,'2004-07-01','2004-07-01',DBA
7,Credit Contra Account,1,'2004-07-01','2004-07-01',DBA
8,Asset Contra Acccount,1,'2004-07-01','2004-07-01',DBA
